alpha3	country	subregion	region
AFG	Afghanistan	Southern Asia	Asia
AGO	Angola	Sub-Saharan Africa	Africa
ALB	Albania	Southern Europe	Europe
ARE	United Arab Emirates	Western Asia	Asia
ARG	Argentina	Latin America and the Caribbean	Americas
ARM	Armenia	Western Asia	Asia
AUS	Australia	Australia and New Zealand	Oceania
AUT	Austria	Western Europe	Europe
AZE	Azerbaijan	Western Asia	Asia
BDI	Burundi	Sub-Saharan Africa	Africa
BEL	Belgium	Western Europe	Europe
BEN	Benin	Sub-Saharan Africa	Africa
BFA	Burkina Faso	Sub-Saharan Africa	Africa
BGD	Bangladesh	Southern Asia	Asia
BGR	Bulgaria	Eastern Europe	Europe
BHR	Bahrain	Western Asia	Asia
BHS	Bahamas	Latin America and the Caribbean	Americas
BIH	Bosnia and Herzegovina	Southern Europe	Europe
BLR	Belarus	Eastern Europe	Europe
BLZ	Belize	Latin America and the Caribbean	Americas
BOL	Bolivia (Plurinational State of)	Latin America and the Caribbean	Americas
BRA	Brazil	Latin America and the Caribbean	Americas
BRB	Barbados	Latin America and the Caribbean	Americas
BRN	Brunei Darussalam	South-eastern Asia	Asia
BTN	Bhutan	Southern Asia	Asia
BWA	Botswana	Sub-Saharan Africa	Africa
CAN	Canada	Northern America	Americas
CHE	Switzerland	Western Europe	Europe
CHL	Chile	Latin America and the Caribbean	Americas
CHN	China	Eastern Asia	Asia
CIV	Ivory Coast	Sub-Saharan Africa	Africa
CMR	Cameroon	Sub-Saharan Africa	Africa
COD	Democratic Republic of the Congo	Sub-Saharan Africa	Africa
COL	Colombia	Latin America and the Caribbean	Americas
CPV	Cabo Verde	Sub-Saharan Africa	Africa
CRI	Costa Rica	Latin America and the Caribbean	Americas
CUB	Cuba	Latin America and the Caribbean	Americas
CYP	Cyprus	Western Asia	Asia
CZE	Czechia	Eastern Europe	Europe
DEU	Germany	Western Europe	Europe
DNK	Denmark	Northern Europe	Europe
DOM	Dominican Republic	Latin America and the Caribbean	Americas
DZA	Algeria	Northern Africa	Africa
ECU	Ecuador	Latin America and the Caribbean	Americas
EGY	Egypt	Northern Africa	Africa
ESP	Spain	Southern Europe	Europe
EST	Estonia	Northern Europe	Europe
ETH	Ethiopia	Sub-Saharan Africa	Africa
FIN	Finland	Northern Europe	Europe
FJI	Fiji	Melanesia	Oceania
FRA	France	Western Europe	Europe
GBR	United Kingdom of Great Britain and Northern Ireland	Northern Europe	Europe
GEO	Georgia	Western Asia	Asia
GHA	Ghana	Sub-Saharan Africa	Africa
GIN	Guinea	Sub-Saharan Africa	Africa
GMB	Gambia	Sub-Saharan Africa	Africa
GRC	Greece	Southern Europe	Europe
GTM	Guatemala	Latin America and the Caribbean	Americas
GUY	Guyana	Latin America and the Caribbean	Americas
HND	Honduras	Latin America and the Caribbean	Americas
HRV	Croatia	Southern Europe	Europe
HUN	Hungary	Eastern Europe	Europe
IDN	Indonesia	South-eastern Asia	Asia
IND	India	Southern Asia	Asia
IRL	Ireland	Northern Europe	Europe
IRN	Iran (Islamic Republic of)	Southern Asia	Asia
IRQ	Iraq	Western Asia	Asia
ISL	Iceland	Northern Europe	Europe
ISR	Israel	Western Asia	Asia
ITA	Italy	Southern Europe	Europe
JAM	Jamaica	Latin America and the Caribbean	Americas
JOR	Jordan	Western Asia	Asia
JPN	Japan	Eastern Asia	Asia
KAZ	Kazakhstan	Central Asia	Asia
KEN	Kenya	Sub-Saharan Africa	Africa
KGZ	Kyrgyzstan	Central Asia	Asia
KHM	Cambodia	South-eastern Asia	Asia
KOR	Republic of Korea	Eastern Asia	Asia
KWT	Kuwait	Western Asia	Asia
LAO	Lao People's Democratic Republic	South-eastern Asia	Asia
LBN	Lebanon	Western Asia	Asia
LBR	Liberia	Sub-Saharan Africa	Africa
LKA	Sri Lanka	Southern Asia	Asia
LSO	Lesotho	Sub-Saharan Africa	Africa
LTU	Lithuania	Northern Europe	Europe
LUX	Luxembourg	Western Europe	Europe
LVA	Latvia	Northern Europe	Europe
MAR	Morocco	Northern Africa	Africa
MDA	Republic of Moldova	Eastern Europe	Europe
MDG	Madagascar	Sub-Saharan Africa	Africa
MDV	Maldives	Southern Asia	Asia
MEX	Mexico	Latin America and the Caribbean	Americas
MKD	North Macedonia	Southern Europe	Europe
MLI	Mali	Sub-Saharan Africa	Africa
MLT	Malta	Southern Europe	Europe
MMR	Myanmar	South-eastern Asia	Asia
MNE	Montenegro	Southern Europe	Europe
MNG	Mongolia	Eastern Asia	Asia
MOZ	Mozambique	Sub-Saharan Africa	Africa
MRT	Mauritania	Sub-Saharan Africa	Africa
MUS	Mauritius	Sub-Saharan Africa	Africa
MWI	Malawi	Sub-Saharan Africa	Africa
MYS	Malaysia	South-eastern Asia	Asia
NAM	Namibia	Sub-Saharan Africa	Africa
NER	Niger	Sub-Saharan Africa	Africa
NGA	Nigeria	Sub-Saharan Africa	Africa
NIC	Nicaragua	Latin America and the Caribbean	Americas
NLD	Netherlands	Western Europe	Europe
NOR	Norway	Northern Europe	Europe
NPL	Nepal	Southern Asia	Asia
NZL	New Zealand	Australia and New Zealand	Oceania
OMN	Oman	Western Asia	Asia
PAK	Pakistan	Southern Asia	Asia
PAN	Panama	Latin America and the Caribbean	Americas
PER	Peru	Latin America and the Caribbean	Americas
PHL	Philippines	South-eastern Asia	Asia
PNG	Papua New Guinea	Melanesia	Oceania
POL	Poland	Eastern Europe	Europe
PRT	Portugal	Southern Europe	Europe
PRY	Paraguay	Latin America and the Caribbean	Americas
QAT	Qatar	Western Asia	Asia
ROU	Romania	Eastern Europe	Europe
RUS	Russian Federation	Eastern Europe	Europe
RWA	Rwanda	Sub-Saharan Africa	Africa
SAU	Saudi Arabia	Western Asia	Asia
SEN	Senegal	Sub-Saharan Africa	Africa
SGP	Singapore	South-eastern Asia	Asia
SLE	Sierra Leone	Sub-Saharan Africa	Africa
SLV	El Salvador	Latin America and the Caribbean	Americas
SRB	Serbia	Southern Europe	Europe
SUR	Suriname	Latin America and the Caribbean	Americas
SVK	Slovakia	Eastern Europe	Europe
SVN	Slovenia	Southern Europe	Europe
SWE	Sweden	Northern Europe	Europe
SWZ	Eswatini	Sub-Saharan Africa	Africa
SYR	Syrian Arab Republic	Western Asia	Asia
TCD	Chad	Sub-Saharan Africa	Africa
TGO	Togo	Sub-Saharan Africa	Africa
THA	Thailand	South-eastern Asia	Asia
TJK	Tajikistan	Central Asia	Asia
TLS	Timor-Leste	South-eastern Asia	Asia
TTO	Trinidad and Tobago	Latin America and the Caribbean	Americas
TUN	Tunisia	Northern Africa	Africa
TUR	Turkey	Western Asia	Asia
TZA	United Republic of Tanzania	Sub-Saharan Africa	Africa
UGA	Uganda	Sub-Saharan Africa	Africa
UKR	Ukraine	Eastern Europe	Europe
URY	Uruguay	Latin America and the Caribbean	Americas
USA	USA	Northern America	Americas
UZB	Uzbekistan	Central Asia	Asia
VEN	Venezuela (Bolivarian Republic of)	Latin America and the Caribbean	Americas
VNM	Vietnam	South-eastern Asia	Asia
VUT	Vanuatu	Melanesia	Oceania
YEM	Yemen	Western Asia	Asia
ZAF	South Africa	Sub-Saharan Africa	Africa
ZMB	Zambia	Sub-Saharan Africa	Africa
ZWE	Zimbabwe	Sub-Saharan Africa	Africa
